Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Conventional lime (commercial), short distance, avoided product Aggregate",Conventional lime (commercial),0,50,0,Aggregate,67.74417824,16668.02718,13.04508735,16663.31899,4.099208739,65055.57459,62566.13426,2594.086797,152309.929,0.184866414,10.1881236,110.7193219,8.79868E-06,3.40622E-06,5.39433E-06,0.00010434,9.92558E-05,4.99062E-06,108.910481,28669.12536,0.000212351,0.046041953,0.000798499,54.66392255,784.3974907,3685.703076
"Conventional lime (commercial), short distance, avoided product Filler",Conventional lime (commercial),0,50,0,Filler,14.58524349,6239.867351,3.129824537,6250.393669,-1.220031785,28722.69169,27476.27889,1351.059269,4557.955094,-0.054900181,0.197879263,-3.341757659,-1.03224E-06,-4.26116E-06,3.23078E-06,-8.85571E-05,-8.35434E-05,-5.10719E-06,-135.1862044,-6580.289037,-0.000134033,-0.171703807,0.000395142,8.545413429,-2516.890924,3685.703076
"Conventional lime (commercial), short distance, building savings considered",Conventional lime (commercial),0,50,1,None,22.76252959,-19658.57025,-153.0135546,-19473.39253,-19.7280587,32899.63334,34568.90314,-1564.62333,-391237.4803,-1.745953792,0.434722996,-4.016054437,1.03489E-06,-9.53358E-07,1.99012E-06,-4.06837E-05,-3.80651E-05,-2.71198E-06,-621.2584541,-3099.350921,-0.000357955,0.003421859,0.000586573,-4.907269221,-2042.700746,-16965.32769
"Conventional lime (commercial), short distance, building savings considered, avoided product SCM",Conventional lime (commercial),0,50,1,SCM,-28.76837877,-45189.6956,-158.5945079,-44995.82575,-22.83922955,3736.137042,6662.639932,-2821.856426,-485829.7079,-2.026104601,-14.84402565,-181.2581395,-2.69887E-06,-3.11792E-06,4.20916E-07,-0.000196149,-0.000191311,-4.93085E-06,-811.3855805,-19639.07504,-0.000451199,-0.006748099,0.000287535,-54.12203285,-3975.412185,-17507.75194
"Conventional lime (commercial), short distance, building savings considered, avoided product Aggregate",Conventional lime (commercial),0,50,1,Aggregate,21.86011854,-19802.04133,-153.2786954,-19616.52443,-19.80209501,31909.17682,33624.69034,-1610.867059,-393420.4144,-1.747724617,0.087424958,-7.912417222,9.04395E-07,-1.02156E-06,1.92782E-06,-4.23763E-05,-3.95876E-05,-2.88212E-06,-628.5425721,-5759.821554,-0.000360781,0.002586451,0.000565615,-6.130043218,-2094.810246,-17507.75194
"Conventional lime (commercial), short distance, building savings considered, avoided product Filler",Conventional lime (commercial),0,50,1,Filler,-31.2988162,-30230.20115,-163.1939582,-30029.44975,-25.12133553,-4423.706081,-1465.16503,-2853.894587,-541172.3883,-1.987491212,-9.902819376,-121.9734968,-8.92653E-06,-8.68893E-06,-2.35731E-07,-0.000235273,-0.000222387,-1.29799E-05,-872.6392574,-41009.23595,-0.000707164,-0.21515931,0.000162258,-52.24855234,-5396.09866,-17507.75194
"Conventional lime (commercial), optimised transport",Conventional lime (commercial),1,200,0,None,57.93028273,15067.69356,11.71179917,15065.49336,2.924515818,55958.3195,53852.27478,2210.691186,130803.2735,0.159774764,6.708691063,72.65331617,4.79601E-06,2.71884E-06,2.07904E-06,8.60356E-05,8.20695E-05,3.87269E-06,80.70403377,33489.60041,0.000172954,0.025599806,0.000642225,40.69680351,643.9342159,4981.221339
"Conventional lime (commercial), optimised transport, avoided product SCM",Conventional lime (commercial),1,200,0,SCM,6.399374367,-10463.43178,6.130845814,-10456.93986,-0.186655027,26794.8232,25946.01158,953.4580894,36211.04595,-0.120376045,-8.570057577,-104.5887689,1.06225E-06,5.54281E-07,5.09835E-07,-6.94294E-05,-7.11767E-05,1.65383E-06,-109.4230926,16949.87629,7.97097E-05,0.015429848,0.000343187,-8.517960116,-1288.777223,4438.797097
"Conventional lime (commercial), optimised transport, avoided product Aggregate",Conventional lime (commercial),1,200,0,Aggregate,57.02787168,14924.22249,11.44665839,14922.36146,2.850479512,54967.86298,52908.06198,2164.447456,128620.3395,0.158003939,6.361393026,68.75695339,4.66552E-06,2.65065E-06,2.01674E-06,8.4343E-05,8.0547E-05,3.70255E-06,73.41991573,30829.12977,0.000170128,0.024764398,0.000621266,39.47402952,591.8247158,4438.797097
"Conventional lime (commercial), optimised transport, avoided product Filler",Conventional lime (commercial),1,200,0,Filler,3.868936931,4496.062663,1.531395576,4509.436139,-2.468761011,18634.98008,17818.20661,921.4199287,-19131.63439,-0.081762656,-3.628851308,-45.30412616,-5.16541E-06,-5.01673E-06,-1.46812E-07,-0.000108554,-0.000102252,-6.39526E-06,-170.6767696,-4420.28462,-0.000176255,-0.192981363,0.00021791,-6.644479603,-2709.463699,4438.797097
